t,innovation,mse,firing_rate,kalman_innovation,kalman_mse
0.284000,8.292643e-05,6.093595e-03,3.125000e+01,4.591551e-04,1.692729e-02
0.285000,4.550796e-03,5.791468e-03,3.125000e+01,3.016749e-03,1.903338e-02
0.286000,2.544408e-04,6.217155e-03,7.812500e+01,8.815252e-04,1.771163e-02
0.287000,3.892354e-03,6.336052e-03,0.000000e+00,2.348919e-03,1.981818e-02
0.288000,1.347531e-04,6.081370e-03,0.000000e+00,1.679499e-05,1.928169e-02
0.289000,1.067210e-04,5.724513e-03,0.000000e+00,6.737543e-04,1.765478e-02
0.290000,6.373704e-04,6.128761e-03,1.562500e+01,1.601166e-03,1.680116e-02
0.291000,1.728752e-03,6.240617e-03,0.000000e+00,8.502281e-04,1.816272e-02
0.292000,7.226009e-04,6.193025e-03,0.000000e+00,1.787404e-04,1.852425e-02
0.293000,7.178358e-04,6.473721e-03,0.000000e+00,1.624425e-04,1.958924e-02
0.294000,2.477505e-03,6.617114e-03,0.000000e+00,4.139180e-03,1.737511e-02
0.295000,8.123442e-03,6.728313e-03,0.000000e+00,6.050515e-03,2.056730e-02
0.296000,3.891268e-04,6.988309e-03,0.000000e+00,1.216870e-03,1.970024e-02
0.297000,5.334719e-04,6.900893e-03,0.000000e+00,1.375287e-03,1.821865e-02
0.298000,1.014534e-03,6.922258e-03,0.000000e+00,3.653990e-04,1.901052e-02
0.299000,1.796037e-04,6.797256e-03,0.000000e+00,7.220444e-04,1.779349e-02
0.300000,4.376147e-04,6.960461e-03,0.000000e+00,6.957856e-05,1.845802e-02
0.301000,6.235728e-04,6.869051e-03,0.000000e+00,1.436384e-03,1.703836e-02
0.302000,2.092290e-04,6.570634e-03,0.000000e+00,7.947757e-06,1.669268e-02
0.303000,3.863214e-03,6.831950e-03,0.000000e+00,2.535931e-03,1.882966e-02
0.304000,6.569346e-06,7.651948e-03,0.000000e+00,1.223981e-04,1.972025e-02
